Minutes played,Field Goals Made,Field Goals Attempted,Field Goals 3 Points Made,Field Goal 3 Points Attempt,Free Throws Made,Free Throws Attempt,Offensive Rebounds,Defensive Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Double-double,Triple-double,Draftkings next game score
37,8,16,0,0,8,10,4,9,3,1,1,3,4,24,1,0,43.25
31,6,16,0,0,2,3,2,9,5,1,0,2,2,14,1,0,41.25
31,8,10,1,1,4,5,3,12,9,0,0,1,1,21,1,0,46.25
28,8,15,0,1,4,5,4,7,4,1,0,2,3,20,1,0,91.75
42,8,13,0,1,2,4,3,10,9,2,1,0,2,18,1,0,44.75
35,4,11,0,0,6,8,4,7,5,1,1,3,3,14,1,0,26.5
37,6,16,1,2,2,4,1,9,7,0,0,6,1,15,1,0,46.5
36,10,14,1,1,3,6,4,8,3,1,0,7,1,24,1,0,60.75
41,8,13,1,1,3,4,2,15,6,1,0,1,1,20,1,0,61.75
41,13,23,0,2,2,2,4,5,8,1,0,3,2,28,0,0,63.75
37,11,18,2,4,8,12,4,9,5,1,0,4,5,32,1,0,68.0
34,8,11,0,1,6,11,1,9,11,1,0,5,6,22,0,1,34.0
41,8,18,2,4,1,3,2,8,5,0,1,4,2,19,1,0,78.75
37,5,12,1,2,3,4,2,9,8,2,1,2,3,14,1,0,40.75
37,10,14,2,2,3,3,2,9,7,0,0,1,2,25,1,0,53.25
39,4,8,1,1,4,4,4,9,4,2,0,4,5,13,1,0,36.25
35,9,16,1,3,0,0,1,10,7,0,2,5,6,19,1,0,38.0
38,9,14,0,0,4,6,3,9,4,0,1,5,4,22,1,0,55.5
41,12,24,0,4,4,8,7,15,4,0,0,3,5,28,1,0,41.75
40,12,21,0,1,4,4,3,8,3,0,0,3,4,28,1,0,37.0
37,7,15,0,2,4,5,4,10,6,0,1,4,1,18,1,0,71.75
